City,Station,Date,PM2.5,PM10,NO2,SO2,CO,O3
Chennai,Station_C,1/1/2023 0:00,295,174,123,32,4.69,126
Chennai,Station_A,1/1/2023 1:00,182,139,61,82,4.24,171
Bangalore,Station_B,1/1/2023 2:00,109,120,55,67,1.22,56
Delhi,Station_B,1/1/2023 3:00,281,290,76,13,4.91,69
Chennai,Station_D,1/1/2023 4:00,193,168,59,78,1.75,136
Kolkata,Station_C,1/1/2023 5:00,259,59,195,24,2.94,169
Bangalore,Station_C,1/1/2023 6:00,104,172,52,66,2.72,153
Delhi,Station_D,1/1/2023 7:00,61,152,50,98,4.42,130
Mumbai,Station_D,1/1/2023 8:00,44,280,47,54,0.77,79
Mumbai,Station_D,1/1/2023 9:00,154,371,42,84,4.41,163
Mumbai,Station_A,1/1/2023 10:00,74,331,114,64,1.16,54
Kolkata,Station_C,1/1/2023 11:00,252,252,176,97,2.49,72
Mumbai,Station_B,1/1/2023 12:00,231,65,153,12,2.33,119
Delhi,Station_C,1/1/2023 13:00,140,80,111,41,3.81,49
Hyderabad,Station_C,1/1/2023 14:00,253,129,31,62,3.09,83
Chennai,Station_C,1/1/2023 15:00,159,127,104,42,4.48,101
Bangalore,Station_A,1/1/2023 16:00,187,273,134,96,2.48,82
Kolkata,Station_A,1/1/2023 17:00,111,215,117,37,4.66,97
Delhi,Station_C,1/1/2023 18:00,165,95,42,6,0.56,115
Bangalore,Station_B,1/1/2023 19:00,127,81,199,96,4.43,156
Delhi,Station_D,1/1/2023 20:00,49,223,17,47,1.99,54
Chennai,Station_A,1/1/2023 21:00,262,204,117,12,0.53,61
Chennai,Station_B,1/1/2023 22:00,150,91,124,99,3.39,85
Mumbai,Station_B,1/1/2023 23:00,102,78,51,7,3.62,87
Chennai,Station_A,1/2/2023 0:00,164,67,188,81,2.93,174
Chennai,Station_C,1/2/2023 1:00,190,119,77,20,0.77,115
Bangalore,Station_A,1/2/2023 2:00,295,369,101,35,1.8,85
Delhi,Station_B,1/2/2023 3:00,188,235,195,14,1.2,135
Kolkata,Station_C,1/2/2023 4:00,197,244,105,83,4.77,84
Mumbai,Station_A,1/2/2023 5:00,188,110,114,99,1.39,177
Chennai,Station_A,1/2/2023 6:00,21,248,98,87,1.45,90
Hyderabad,Station_A,1/2/2023 7:00,22,311,167,23,3.91,172
Hyderabad,Station_A,1/2/2023 8:00,126,252,166,90,3.68,40
Mumbai,Station_B,1/2/2023 9:00,213,283,160,28,1.5,73
Bangalore,Station_A,1/2/2023 10:00,160,318,85,35,2.67,173
Mumbai,Station_C,1/2/2023 11:00,233,394,156,21,3.03,83
Kolkata,Station_B,1/2/2023 12:00,96,130,81,90,1.73,133
Chennai,Station_B,1/2/2023 13:00,36,90,73,68,4.66,98
Hyderabad,Station_C,1/2/2023 14:00,217,377,175,98,2.52,162
Bangalore,Station_D,1/2/2023 15:00,231,286,27,47,1.01,154
Hyderabad,Station_D,1/2/2023 16:00,223,199,84,19,4.63,83
Delhi,Station_B,1/2/2023 17:00,82,182,113,51,1.32,54
Bangalore,Station_A,1/2/2023 18:00,131,77,191,21,4.32,173
Bangalore,Station_D,1/2/2023 19:00,165,241,107,14,3.4,140
Bangalore,Station_B,1/2/2023 20:00,105,314,133,72,1.11,91
Hyderabad,Station_B,1/2/2023 21:00,265,318,163,55,3.91,15
Mumbai,Station_B,1/2/2023 22:00,103,50,127,68,4.21,112
Kolkata,Station_B,1/2/2023 23:00,176,282,81,92,1.9,13
Hyderabad,Station_A,1/3/2023 0:00,189,243,197,56,0.91,95
Bangalore,Station_D,1/3/2023 1:00,288,176,137,10,3.64,172
Mumbai,Station_A,1/3/2023 2:00,136,230,132,50,0.56,19
Bangalore,Station_D,1/3/2023 3:00,288,373,112,31,0.64,153
Chennai,Station_B,1/3/2023 4:00,92,109,179,83,2.46,34
Delhi,Station_B,1/3/2023 5:00,271,196,31,35,2.1,90
Mumbai,Station_D,1/3/2023 6:00,248,397,72,81,1.16,74
Delhi,Station_A,1/3/2023 7:00,207,262,138,84,1.31,13
